=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-D-n701/Vrp-Set-D-n701-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 86 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 700 CLIENTS AND 86 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It  22000    264 | T(s) 210.27 | Feas 49 39622.78 39657.69 | Inf 65 39621.41 39673.45 | Div 0.22 0.28 | Feas 0.35 1.00 | Pen 19.29 0.10
It  22500    440 | T(s) 214.43 | Feas 56 39621.25 39648.94 | Inf 56 39619.18 39666.24 | Div 0.22 0.27 | Feas 0.27 1.00 | Pen 17.06 0.10
It  23000    940 | T(s) 218.76 | Feas 43 39621.25 39657.63 | Inf 25 39623.41 39743.71 | Div 0.24 0.38 | Feas 0.08 1.00 | Pen 21.29 0.10
It  23500    406 | T(s) 223.07 | Feas 50 39610.73 39643.17 | Inf 52 39610.43 39649.77 | Div 0.21 0.24 | Feas 0.31 1.00 | Pen 18.83 0.10
It  24000    278 | T(s) 227.22 | Feas 41 39608.31 39629.14 | Inf 33 39604.99 39639.18 | Div 0.17 0.25 | Feas 0.30 1.00 | Pen 16.65 0.10
It  24500    101 | T(s) 231.37 | Feas 55 39606.13 39630.02 | Inf 34 39595.39 39640.73 | Div 0.19 0.27 | Feas 0.27 1.00 | Pen 17.33 0.10
It  25000    226 | T(s) 235.77 | Feas 45 39600.27 39643.98 | Inf 30 39593.21 39651.04 | Div 0.22 0.28 | Feas 0.12 1.00 | Pen 21.63 0.10
It  25500    726 | T(s) 239.99 | Feas 57 39600.27 39639.39 | Inf 39 39594.08 39614.70 | Div 0.22 0.17 | Feas 0.14 1.00 | Pen 22.50 0.10
It  26000    287 | T(s) 244.14 | Feas 57 39599.65 39615.30 | Inf 52 39588.16 39603.69 | Div 0.17 0.17 | Feas 0.27 1.00 | Pen 16.58 0.10
It  26500    208 | T(s) 248.07 | Feas 39 39588.63 39612.38 | Inf 44 39591.88 39608.90 | Div 0.20 0.18 | Feas 0.24 1.00 | Pen 20.30 0.10
It  27000     39 | T(s) 252.06 | Feas 43 39584.14 39612.34 | Inf 62 39590.86 39608.40 | Div 0.19 0.15 | Feas 0.13 1.00 | Pen 21.12 0.10
It  27500    539 | T(s) 256.33 | Feas 41 39584.14 39601.45 | Inf 47 39584.83 39604.58 | Div 0.16 0.17 | Feas 0.24 1.00 | Pen 18.31 0.10
It  28000    210 | T(s) 260.36 | Feas 57 39568.56 39596.46 | Inf 35 39576.97 39633.58 | Div 0.16 0.26 | Feas 0.19 1.00 | Pen 18.31 0.10
It  28500    437 | T(s) 264.29 | Feas 53 39565.87 39579.34 | Inf 60 39573.90 39595.26 | Div 0.09 0.16 | Feas 0.19 1.00 | Pen 18.68 0.10
It  29000    937 | T(s) 268.00 | Feas 27 39565.87 39578.59 | Inf 38 39566.93 39591.83 | Div 0.13 0.18 | Feas 0.16 1.00 | Pen 15.88 0.10
It  29500     27 | T(s) 271.70 | Feas 31 39565.74 39580.50 | Inf 59 39560.91 39576.98 | Div 0.13 0.13 | Feas 0.20 1.00 | Pen 16.19 0.10
It  30000    426 | T(s) 275.41 | Feas 61 39560.13 39568.71 | Inf 45 39556.60 39568.17 | Div 0.07 0.12 | Feas 0.26 1.00 | Pen 14.04 0.10
It  30500    331 | T(s) 278.95 | Feas 33 39559.62 39571.07 | Inf 25 39556.49 39613.86 | Div 0.11 0.20 | Feas 0.19 1.00 | Pen 14.04 0.10
It  31000    831 | T(s) 282.67 | Feas 43 39559.62 39569.00 | Inf 49 39557.62 39583.92 | Div 0.10 0.16 | Feas 0.14 1.00 | Pen 14.61 0.10
It  31500     97 | T(s) 286.17 | Feas 36 39557.37 39566.41 | Inf 29 39548.37 39559.89 | Div 0.11 0.13 | Feas 0.27 1.00 | Pen 12.42 0.10
It  32000    597 | T(s) 290.02 | Feas 46 39557.37 39561.09 | Inf 64 39551.95 39555.62 | Div 0.06 0.07 | Feas 0.25 1.00 | Pen 14.90 0.10
It  32500    191 | T(s) 293.55 | Feas 41 39556.84 39562.04 | Inf 36 39546.70 39551.93 | Div 0.07 0.08 | Feas 0.30 1.00 | Pen 12.92 0.10
It  33000    691 | T(s) 297.24 | Feas 49 39556.84 39560.79 | Inf 46 39547.75 39606.39 | Div 0.06 0.14 | Feas 0.00 1.00 | Pen 13.44 0.10
It  33500   1191 | T(s) 300.79 | Feas 33 39556.84 39560.42 | Inf 32 39548.28 39568.10 | Div 0.07 0.15 | Feas 0.26 1.00 | Pen 13.71 0.10
It  34000   1691 | T(s) 304.35 | Feas 55 39556.84 39558.45 | Inf 29 39548.83 39563.31 | Div 0.05 0.15 | Feas 0.18 1.00 | Pen 13.98 0.10
